
Project:     20250213_0730_ie
Program:     Inertial Explorer Version 8.90.4416
Profile:     IPNL_URBANNAV_with_std_revise
Source:      GNSS/INS Epochs(Smoothed TC Combined)
SolFile:      C:\Users\IPNL_Experiment\Desktop\20250213\20250213_0730_ie.cts
ProcessInfo: 20250213_0730_ie by Unknown on 2/19/2025 at 12:23:15

Datum:       WGS84
Master 1:    Name HKSC, Status ENABLED
             Antenna height 0.008 m, to ARP [LEIAR25.R4(LEIT)]
             Lat, Lon, El Hgt 22 19 19.81949, 114 08 28.27666, 20.239 m [WGS84, N/A]
Remote:      Antenna height 0.000 m, to L1PC [NOV703GGG.R2(NONE)]
IMU to GNSS Antenna Lever Arms:
             x=-0.073, y=-0.032, z=1.071 m (x-right, y-fwd, z-up)
Body to IMU Rotations:
             xRot=0.000, yRot=0.000, zRot=90.000 degrees
UTC Offset:  18 s
SD Scaling Settings:
  Position: 1.0000
  Velocity: 1.0000
  Attitude: 1.0000

       UTCTime       Week    GPSTime       Latitude      Longitude        H-Ell       X-ECEF       Y-ECEF       Z-ECEF   VX-ECEF   VY-ECEF   VZ-ECEF     VEast    VNorth       VUp VelBdyX VelBdyY VelBdyZ AccBdyX AccBdyY AccBdyZ           Roll          Pitch        Heading Q     SDX-ECEF     SDY-ECEF     SDZ-ECEF       SDEast      SDNorth     SDHeight         HdngSD     SD-VN     SD-VE     SD-VH         RollSD        PitchSD        AzStDev
         (sec)    (weeks)      (sec)          (deg)          (deg)          (m)          (m)          (m)          (m)     (m/s)     (m/s)     (m/s)     (m/s)     (m/s)     (m/s)   (m/s)   (m/s)   (m/s) (m/s^2) (m/s^2) (m/s^2)          (deg)          (deg)          (deg)            (m)          (m)          (m)          (m)          (m)          (m)          (deg)     (m/s)     (m/s)     (m/s)          (deg)          (deg)          (deg)
1739447682.000 2353.00000 388500.000  22.2930376531 114.1742079012        3.158 -2417865.964  5386479.520  2404468.807    -0.337     0.469    -1.708     0.115    -1.795    -0.125  -0.133   1.786   0.203  -0.239   1.938   1.031  -7.9274784309  -9.8288617924 -178.584694184 1        0.004        0.006        0.004        0.003        0.004        0.007   0.0211003423     0.002     0.002     0.001   0.0037797231   0.0038725131   0.0000000000
1739447683.000 2353.00000 388501.000  22.2930222244 114.1742080068        3.126 -2417866.228  5386480.080  2404467.214    -0.352     0.555    -1.734     0.094    -1.851    -0.056  -0.068   1.841   0.215   0.387  -1.207   0.049  -6.8707551806  -8.0870700952 179.9763509613 1        0.004        0.006        0.004        0.003        0.004        0.007   0.0211167354     0.002     0.002     0.001   0.0036796997   0.0037915600   0.0000000000
1739447684.000 2353.00000 388502.000  22.2930080440 114.1742088712        3.097 -2417866.542  5386480.563  2404465.751    -0.510     0.416    -1.350     0.294    -1.472     0.032  -0.086   1.481   0.232   0.703  -2.347   1.462  -7.1507080889  -7.2024748257 173.0468446884 1        0.004        0.006        0.004        0.003        0.004        0.007   0.0211339723     0.002     0.002     0.001   0.0036885953   0.0037900191   0.0000000000
1739447685.000 2353.00000 388503.000  22.2929963140 114.1742118877        3.071 -2417867.018  5386480.863  2404464.539    -0.587     0.266    -0.955     0.426    -1.067     0.085  -0.207   1.113   0.217   0.667  -1.599   1.136  -6.9225104582  -5.3925412579 169.8325629169 1        0.004        0.006        0.004        0.003        0.004        0.007   0.0211505238     0.002     0.002     0.001   0.0036975390   0.0038015381   0.0000000000
1739447686.000 2353.00000 388504.000  22.2929897474 114.1742135039        3.058 -2417867.277  5386481.035  2404463.861    -0.080     0.107    -0.409     0.030    -0.428    -0.035   0.356   0.234  -0.064  -0.180  -0.430  -1.253  -7.3532200216  -4.1225287388 118.7296722170 1        0.004        0.006        0.004        0.003        0.004        0.007   0.0211685039     0.002     0.002     0.001   0.0037083612   0.0038171969   0.0000000000
1739447687.000 2353.00000 388505.000  22.2929865141 114.1742149342        3.076 -2417867.474  5386481.114  2404463.537    -0.161    -0.217     0.327     0.236     0.353     0.002   0.199   0.371   0.056  -1.835   2.457   0.175  -3.9367471737 -10.2134826306   6.4222724665 1        0.004        0.006        0.004        0.003        0.004        0.007   0.0211911835     0.002     0.002     0.001   0.0037432166   0.0039034639   0.0000000000
1739447688.000 2353.00000 388506.000  22.2929960414 114.1742140190        3.098 -2417867.233  5386480.806  2404464.521     0.388    -0.466     1.233    -0.163     1.363    -0.073  -0.108   1.353   0.214  -0.626   1.163  -1.371  -5.3418746001 -11.5592172520  -1.4597765522 1        0.004        0.006        0.004        0.003        0.004        0.007   0.0212187245     0.002     0.002     0.001   0.0040216763   0.0041809790   0.0000000000
1739447689.000 2353.00000 388507.000  22.2930101723 114.1742119200        3.110 -2417866.797  5386480.364  2404465.974     0.535    -0.600     1.479    -0.242     1.659    -0.148  -0.131   1.671   0.155  -0.810   1.126   1.499  -5.9207682380  -9.8799581685  -3.2762532980 1        0.004        0.006        0.004        0.003        0.004        0.007   0.0212543383     0.002     0.002     0.001   0.0039584544   0.0041508321   0.0000000000
1739447690.000 2353.00000 388508.000  22.2930248749 114.1742101230        3.129 -2417866.382  5386479.892  2404467.487     0.590    -0.484     1.601    -0.340     1.740    -0.025  -0.220   1.744   0.234   0.008   0.552   2.406  -7.0174209170  -7.5089671390  -3.0565698202 1        0.004        0.006        0.004        0.003        0.004        0.007   0.0212958436     0.002     0.002     0.001   0.0038321910   0.0040179226   0.0000000000
1739447691.000 2353.00000 388509.000  22.2930388826 114.1742083596        3.156 -2417865.986  5386479.452  2404468.933     0.503    -0.378     1.530    -0.304     1.624     0.071  -0.256   1.609   0.283   1.163  -1.766   1.479  -7.3268410447  -6.2892889622  -0.4667662087 1        0.004        0.006        0.004        0.003        0.004        0.007   0.0213394575     0.003     0.002     0.001   0.0038284748   0.0039584595   0.0000000000
